,Entity,Year,tonnes
2,Brazil,229203,14190905219.759998
0,Argentina,255712,7977373398.240003
11,Venezuela,206276,7572615003.089998
4,Colombia,190993,3110040938.7799993
3,Chile,240588,2657499285.1
8,Peru,261367,1857299523.9199996
5,Ecuador,198667,1100685365.0500002
1,Bolivia,177525,461310418.1000001
10,Uruguay,169807,353071941.93000007
7,Paraguay,134878,150098367.67
9,Suriname,134878,104379604.53999999
6,Guyana,134878,89660737.5
