,Entity,Year,tonnes
0,Australia,306283,17360810554.86
5,New Zealand,272650,1779162163.7100003
7,Papua New Guinea,134878,152482152.43
1,Fiji,134878,45160830.030000016
6,Palau,125118,11012244.950000001
9,Solomon Islands,130977,7165127.220000001
8,Samoa,134878,6445614.359999999
4,Nauru,107487,4678403.16
12,Vanuatu,111412,4315060.06
10,Tonga,134878,3965652.3400000003
3,Marshall Islands,52117,2266040.04
2,Kiribati,113373,1913894.59
11,Tuvalu,56098,256922.58000000002
