,Entity,Year,tonnes
131,Mali,117292,33149434.390000004
192,Somalia,134878,31190567.700000003
87,Greenland,134878,30246492.84
195,South Sudan,111253,29721726.879999995
73,Faeroe Islands,134878,28545339.56
79,French Polynesia,125118,27182548.02
25,Bermuda,134878,27146704.26
174,Rwanda,117292,25185419.379999995
9,Antigua and Barbuda,121207,21756717.08
78,French Guiana,128830,21361120.0
28,Bonaire Sint Eustatius and Saba,111253,20786824.02
130,Maldives,93718,19836856.51
61,Djibouti,134878,19174274.46
23,Belize,134878,17162217.12
69,Eritrea,59781,16336482.58
185,Seychelles,109450,14863511.05
43,Chad,117292,14410060.549999999
41,Cayman Islands,117115,14062432.0
26,Bhutan,95688,13762669.88
5,Andorra,56098,13717377.28
177,Saint Lucia,134878,12036657.41
81,Gambia,134878,12030970.740000002
40,Cape Verde,134878,11572647.4
42,Central African Republic,117292,11448062.129999999
85,Gibraltar,128830,11380384.0
161,Palau,125118,11012244.950000001
36,Burundi,117292,10728249.8
92,Guinea-Bissau,134878,9228085.54
88,Grenada,134878,7332340.49
191,Solomon Islands,130977,7165127.220000001
180,Samoa,134878,6445614.359999999
179,Saint Vincent and the Grenadines,134878,6228123.09
176,Saint Kitts and Nevis,73963,5660324.69
74,Falkland Islands,124893,4785184.0
209,Timor,32152,4729565.89
148,Nauru,107487,4678403.16
32,British Virgin Islands,111412,4416723.65
225,Vanuatu,111412,4315060.06
48,Comoros,117292,4221082.0200000005
211,Tonga,134878,3965652.3400000003
62,Dominica,132928,3921840.4799999995
178,Saint Pierre and Miquelon,134878,3596641.5599999996
138,Micronesia (country),52117,3401355.2
216,Turks and Caicos Islands,56098,3318276.1700000004
7,Anguilla,56098,3040078.33
181,Sao Tome and Principe,132928,2954819.58
133,Marshall Islands,52117,2266040.04
50,Cook Islands,97657,2044872.3099999998
122,Liechtenstein,22132,2000665.44
112,Kiribati,113373,1913894.59
143,Montserrat,111412,1539754.12
46,Christmas Island,27671,1330032.0
228,Wallis and Futuna Islands,34153,429573.15
175,Saint Helena,75931,346308.79
156,Niue,95688,271578.58
217,Tuvalu,56098,256922.58000000002
8,Antarctic Fisheries,41937,153888.0
114,Kyrgysztan,65175,0.0
198,Statistical differences,503028,-7713299414.47
